Date,SPY,EFA,AGG
2013-07-08,3860.258849989623,1165.015265194932,2194.4340155702084
2013-07-09,3878.641362793278,1168.5880493774312,2191.391738190432
2013-07-10,3908.266121752211,1180.5051756557878,2201.5228108865704
2013-07-11,3876.640004110901,1185.1367536649268,2168.7649148409837
2013-07-12,3899.2152285368647,1183.6241584289237,2178.036792293424
2013-07-15,3920.9896880648157,1193.0391400543667,2186.561265998971
2013-07-16,4019.2751054637192,1226.726965408343,2253.3728328943835
2013-07-17,4022.856854970334,1228.3424820978107,2254.4341657427576
2013-07-18,4047.6019556173123,1237.315922037873,2251.7430089054396
2013-07-19,4071.071110608784,1241.2604497211214,2266.686647918177
2013-07-22,4070.8579749464407,1245.7211907145393,2265.1001954112144
2013-07-23,4055.430166765931,1246.2913041374268,2260.0578263903735
2013-07-24,4041.915961282968,1245.0766520114994,2253.4596695188375
2013-07-25,4053.104482991388,1247.940919319859,2255.0542806525773
2013-07-26,4061.490830695373,1241.4330384828063,2256.684983710031
2013-07-29,4047.10969074053,1229.0157853539713,2255.630110547092
2013-07-30,4048.3262666497612,1229.1812152143975,2255.466734826565
2013-07-31,4056.215217371093,1233.5617249343632,2259.9367379098258
2013-08-01,4120.47645694355,1255.6184555218642,2256.688238577568
2013-08-02,4127.6158525601495,1265.9238075902103,2264.393017016002
2013-08-05,4121.989929876581,1263.381242510477,2265.679146715338
2013-08-06,4075.2904280101357,1254.3701660605875,2250.4946988985175
2013-08-07,4068.190663081594,1250.735415871488,2256.8307986170985
2013-08-08,4086.6407825499773,1263.0736275168601,2261.957653369289
2013-08-09,4065.343526794575,1262.3731503986928,2258.156914979394
2013-08-12,4060.1347092638607,1258.7764432756885,2256.4559440278244
2013-08-13,4075.13189807022,1267.8721584669183,2249.0459333581093
2013-08-14,4057.4774304084713,1269.5007523856475,2247.8932927377173
2013-08-15,4004.5970416748896,1260.0880546870758,2242.039298127871
2013-08-16,3991.492384581943,1262.3814311033711,2235.7768716098362
2013-08-19,3962.8074870131677,1252.3751664240262,2227.022970484133
2013-08-20,3985.2084977552295,1251.6567532377667,2235.20398105029
2013-08-21,3968.0488324095495,1239.2320342753374,2231.1209313361906
2013-08-22,4004.2194594838656,1251.327184184629,2233.871857287886
2013-08-23,4023.3345724549145,1263.9552688109688,2244.4094806956127
2013-08-26,3998.3787156364415,1251.5923774717594,2242.8359717906424
2013-08-27,3929.615215722035,1228.9031773499883,2246.2098016544332
2013-08-28,3948.8280592486262,1229.1073441351764,2244.976597811561
2013-08-29,3850.562905537663,1194.6298285234661,2189.967367979989
2013-08-30,3936.3942133999954,1210.007074790039,2242.308352940643
2013-09-03,3939.4291277927405,1228.714713682908,2228.4157293855533
2013-09-04,3975.345459423552,1240.7533359884837,2227.114504433266
2013-09-05,3974.1269926046953,1237.7853704390582,2208.666361819487
2013-09-06,3989.0895790278446,1248.5879676741024,2224.152551967709
2013-09-09,3878.3512875084416,1218.934454686765,2146.1701161786186
2013-09-10,3896.2061977615813,1229.2852750632883,2136.363976950641
2013-09-11,3925.006584188028,1238.8313136195793,2152.758566195407
2013-09-12,3903.740709931066,1228.3294942321954,2144.3601889233105
2013-09-13,3929.2234930288396,1239.4916538317048,2156.573040122632
2013-09-16,3929.565359098051,1242.078361898879,2148.8166554266354
2013-09-17,3962.1916848927503,1247.6145930873463,2159.068110998778
2013-09-18,4009.715687607648,1281.4244453877036,2178.0980007002654
2013-09-19,3953.6769719155564,1259.605059361238,2148.648175401977
2013-09-20,3956.301347014436,1260.0999345300006,2165.2116579619615
2013-09-23,3947.8514093298,1262.8614299104229,2172.25672556879
2013-09-24,3944.57147026062,1262.8206052780151,2180.6614923477173
2013-09-25,3936.1667416233104,1265.1617449213518,2185.3809926557005
2013-09-26,3939.677018757211,1266.7436665555579,2178.5467992404883
2013-09-27,3927.2862701210543,1264.0659361092257,2182.942297270638
2013-09-30,3897.695457351976,1252.2334693103912,2176.2734043194214
2013-10-01,3926.3663438874646,1258.207105903617,2173.4571602156066
2013-10-02,3927.7009237766615,1259.4323503804626,2179.1029636498715
2013-10-03,3864.605956814252,1242.5407806141302,2165.6682896711864
2013-10-04,3890.209623251925,1244.2911267773306,2161.8070720651303
2013-10-07,3868.8604955709307,1235.3496876541612,2168.283872755652
2013-10-08,3823.7995841133525,1225.7700543224273,2167.2700438161555
2013-10-09,3814.9647453814396,1227.3138124353136,2159.0802799374796
2013-10-10,3906.203118733625,1252.222240146606,2166.4937789119867
2013-10-11,3929.724622962589,1258.337135670772,2166.396294401682
2013-10-14,3940.599189473258,1261.0905564413042,2159.7073312162684
2013-10-15,3916.1176573159173,1256.3603030983359,2160.9610023139976
2013-10-16,3957.360209956765,1261.4445175398723,2162.915145359584
2013-10-17,4006.9788451222703,1285.612142019323,2181.578305705916
2013-10-18,4014.6503022979014,1287.0282080619363,2174.7251243812498
2013-10-21,4030.7600909469184,1294.074222249823,2181.300701741595
2013-10-22,4054.1031663814792,1306.979393165093,2188.9990105496254
2013-10-23,3997.5538341957144,1282.3567966462579,2168.246599421371
2013-10-24,4038.3564079409116,1300.1292047041206,2182.3174096816656
2013-10-25,4065.025901134708,1299.0508728130299,2187.5501030540618
2013-10-28,4070.2153319750505,1296.4933628014624,2185.8523567705124
2013-10-29,4099.77753235749,1301.7219012997812,2192.68502551259
2013-10-30,4081.1202544454136,1297.5653708533355,2189.5403067517327
2013-10-31,4069.6862377992948,1290.3637884536147,2189.8209850826825
2013-11-01,4088.3541505648755,1286.9116607303731,2189.324791866122
2013-11-04,4092.1949883511697,1289.8697547459233,2185.9336857905437
2013-11-05,4070.5708925240324,1275.9936002737668,2174.8025440073397
2013-11-06,4096.351424740162,1288.7020464973466,2180.908204817737
2013-11-07,4041.8828270959784,1267.5182431966823,2181.0885200514167
2013-11-08,4127.269853905309,1284.5510671075317,2183.8218384759966
2013-11-11,4121.394567535841,1285.2584149317845,2179.1182846384327
2013-11-12,4105.898128821107,1278.7119064829676,2174.5276635639457
2013-11-13,4129.501808905625,1279.938194333081,2175.3099478501827
2013-11-14,4143.75117735294,1283.8450002825412,2178.6763949079614
2013-11-15,4183.832163748186,1301.0675420520638,2190.8340405912604
2013-11-18,4155.314515480422,1296.736184489935,2187.811864857431
2013-11-19,4251.449861421745,1326.2113499436382,2237.256619930442
2013-11-20,4238.151128516271,1316.9694860308591,2230.9998210649937
2013-11-21,4283.944136068167,1328.8044342285139,2239.355493711919
2013-11-22,4305.375731126405,1332.631875154475,2242.4946400542103
2013-11-25,4189.4502007336705,1294.117953294277,2185.9168729793164
2013-11-26,4309.557440793287,1330.8512195439107,2248.5923751701193
2013-11-27,4327.352204914932,1336.3333911627706,2253.438426970941
2013-11-29,4214.950218328275,1305.046873298612,2197.180584836213
2013-12-02,4203.860546618671,1295.3480537607902,2188.7653789799515
2013-12-03,4287.377313554316,1317.5325517697274,2244.663835080428
2013-12-04,4278.21212722268,1307.8133821313095,2234.2496935742674
2013-12-05,4263.012687022274,1301.4625024141424,2231.3193480149494
2013-12-06,4323.051018599421,1321.375152753535,2241.5179833987204
2013-12-09,4210.964733771019,1282.4759326960411,2180.5185135586944
2013-12-10,4308.315073116333,1314.6254269834099,2242.517044081731
